,nonsense,arabic,english 
3829,حسنآ 0000,حسنآ ,Good
3830,المختبر 0000,المختبر ,Laboratory
3831,دينيس 0000,دينيس ,Dennis
3832,الكمبيوتر 0000,الكمبيوتر ,Computer
3833,النفسي 0000,النفسي ,Psychological
3834,الحمض 0000,الحمض ,Acid
3835,لانني 0000,لانني ,because I
3836,تقرأ 0000,تقرأ ,Read
3837,رجالك 0000,رجالك ,Your men
3838,أقرأ 0000,أقرأ ,Read
3839,أخبرتها 0000,أخبرتها ,I told her
3840,قلتي 0000,قلتي ,You said
3841,العنف 0000,العنف ,Violence
3842,التأمين 0000,التأمين ,Insurance
3843,بالنسبه 0000,بالنسبه ,about
3844,all 0000,all ,All
3845,التسجيل 0000,التسجيل ,Register
3846,إنهما 0000,إنهما ,They are
3847,هنـاك 0000,هنـاك ,There
3848,كارلوس 0000,كارلوس ,Carlos
3849,السائق 0000,السائق ,the driver
3850,تمتلك 0000,تمتلك ,Ownership
3851,دار 0000,دار ,Dar: house
3852,المفروض 0000,المفروض ,Assumed
3853,السرطان 0000,السرطان ,cancer
3854,أقف 0000,أقف ,Stand up
3855,الراديو 0000,الراديو ,the radio
3856,فخورة 0000,فخورة ,Proud
3857,سطح 0000,سطح ,Surface
3858,دوك 0000,دوك ,Doc
3859,مقتل 0000,مقتل ,Killing
3860,الجوار 0000,الجوار ,Neighborhood
3861,أجرة 0000,أجرة ,Rent
3862,حاولي 0000,حاولي ,Try
3863,أوروبا 0000,أوروبا ,Europe
3864,قطعت 0000,قطعت ,I cut
3865,الثلاثاء 0000,الثلاثاء ,Tuesday
3866,للأمام 0000,للأمام ,Forward
3867,ستفعله 0000,ستفعله ,You will do it
3868,عصير 0000,عصير ,juice
3869,تدع 0000,تدع ,Let down
3870,وقتي 0000,وقتي ,Temporary
3871,تعجبني 0000,تعجبني ,I like
3872,سانت 0000,سانت ,Saint
3873,ميكي 0000,ميكي ,Mickey
3874,ليمون 0000,ليمون ,Lemon
3875,العظام 0000,العظام ,Bones
3876,ليام 0000,ليام ,Liam
3877,الرأي 0000,الرأي ,The opinion
3878,أفلام 0000,أفلام ,Movies
3879,تريدينه 0000,تريدينه ,You want it
3880,تراجعوا 0000,تراجعوا ,They retreated
3881,مواجهة 0000,مواجهة ,Confrontation
3882,كشف 0000,كشف ,a statement
3883,هادئ 0000,هادئ ,calm
3884,دقيقه 0000,دقيقه ,minute
3885,تكونى 0000,تكونى ,You are
3886,إثبات 0000,إثبات ,Proof
3887,رمز 0000,رمز ,Code
3888,أحمل 0000,أحمل ,I carry
3889,ثواني 0000,ثواني ,Seconds
3890,التوقيت 0000,التوقيت ,Timing
3891,دعها 0000,دعها ,Leave it
3892,رفضت 0000,رفضت ,She rejected
3893,إصلاح 0000,إصلاح ,Repair
3894,المشهد 0000,المشهد ,the scene
3895,حمقاء 0000,حمقاء ,Foolish
3896,المفتش 0000,المفتش ,Inspector
3897,خسارة 0000,خسارة ,Loss
3898,اعود 0000,اعود ,I come back
3899,للخطر 0000,للخطر ,Risk
3900,حار 0000,حار ,hot
3901,الحراس 0000,الحراس ,Guards
3902,وعد 0000,وعد ,a promise
3903,الحجم 0000,الحجم ,the size
3904,إنظري 0000,إنظري ,Look at
3905,لأننى 0000,لأننى ,because I
3906,المره 0000,المره ,Time
3907,الزاوية 0000,الزاوية ,the corner
3908,ذي 0000,ذي ,Dhimn
3909,المشروع 0000,المشروع ,The project
3910,نغادر 0000,نغادر ,We leave
3911,أهي 0000,أهي ,Delicious
3912,عجلة 0000,عجلة ,wheel
3913,متزوجة 0000,متزوجة ,married
3914,نعرفه 0000,نعرفه ,We know it
3915,رون 0000,رون ,Ron
3916,عكس 0000,عكس ,Reverse
3917,إبقى 0000,إبقى ,Keep
3918,الشرق 0000,الشرق ,the East
3919,لمساعدة 0000,لمساعدة ,To help
3920,أؤكد 0000,أؤكد ,I emphasize
3921,زيارة 0000,زيارة ,Visit
3922,الغذاء 0000,الغذاء ,Food
3923,السادس 0000,السادس ,VI
3924,صبي 0000,صبي ,Boy
3925,وسيكون 0000,وسيكون ,And it will be
3926,ليز 0000,ليز ,Liz
3927,البقر 0000,البقر ,Cow
3928,العاصفة 0000,العاصفة ,Storm
3929,سلطة 0000,سلطة ,Salad
3930,ألعاب 0000,ألعاب ,Toys
3931,أظهر 0000,أظهر ,show up
3932,اخذت 0000,اخذت ,I took
3933,ظل 0000,ظل ,Shade
3934,دورة 0000,دورة ,Course
3935,روي 0000,روي ,Tell
3936,تأمين 0000,تأمين ,insurance
3937,الفتاه 0000,الفتاه ,the girl
3938,الكتابة 0000,الكتابة ,Writing
3939,اللغة 0000,اللغة ,the language
3940,سعيده 0000,سعيده ,happy
3941,لسماع 0000,لسماع ,To hear
3942,المحلفين 0000,المحلفين ,Jurists
3943,بارني 0000,بارني ,Barn
3944,حذاء 0000,حذاء ,Shoe
3945,طاب 0000,طاب ,Good
3946,إتصلت 0000,إتصلت ,I called
3947,س 0000,س ,s
3948,قلبية 0000,قلبية ,Heart attack
3949,الشبكة 0000,الشبكة ,the network
3950,وافقت 0000,وافقت ,Approved
3951,تمسك 0000,تمسك ,Hold
3952,مايا 0000,مايا ,Maya
3953,مزعج 0000,مزعج ,annoying
3954,فشل 0000,فشل ,to fail
3955,حكم 0000,حكم ,Rule
3956,الجليد 0000,الجليد ,Ice
3957,المقابلة 0000,المقابلة ,the interview
3958,صف 0000,صف ,Row
3959,تقضي 0000,تقضي ,Stipulate
3960,أتعتقدين 0000,أتعتقدين ,Do you think
3961,ارجع 0000,ارجع ,come back
3962,حبوب 0000,حبوب ,pills
3963,لعدة 0000,لعدة ,For
3964,تحتاجه 0000,تحتاجه ,You need it
3965,ليندا 0000,ليندا ,Linda
3966,الموجود 0000,الموجود ,Existing
3967,نصيحة 0000,نصيحة ,advice
3968,الأطوار 0000,الأطوار ,Phases
3969,الحماية 0000,الحماية ,Protection
3970,خاصتك 0000,خاصتك ,thy
3971,كبيره 0000,كبيره ,big
3972,كاميرات 0000,كاميرات ,Cameras
3973,هـو 0000,هـو ,It is
3974,فين 0000,فين ,where
3975,العسكرية 0000,العسكرية ,Military
3976,قواعد 0000,قواعد ,Grammar
3977,قوات 0000,قوات ,Forces
3978,المقدس 0000,المقدس ,holy
3979,كون 0000,كون ,Universe
3980,أنقذت 0000,أنقذت ,Save
3981,الصحراء 0000,الصحراء ,the desert
3982,راندي 0000,راندي ,Randy
3983,الجراحة 0000,الجراحة ,Surgery
3984,الحفاظ 0000,الحفاظ ,Preservation
3985,أعطي 0000,أعطي ,gave
3986,أخذها 0000,أخذها ,Take it
3987,بالمال 0000,بالمال ,With money
3988,أخذه 0000,أخذه ,took him
3989,ميامي 0000,ميامي ,Miami
3990,لأجله 0000,لأجله ,for him
3991,قرر 0000,قرر ,He decided
3992,الجنة 0000,الجنة ,the Paradise
3993,متعب 0000,متعب ,Tired
3994,جائعة 0000,جائعة ,hungry
3995,الهدوء 0000,الهدوء ,Calmness
3996,نسبة 0000,نسبة ,Rate
3997,أمريكي 0000,أمريكي ,American
3998,جدول 0000,جدول ,Schedule
3999,بينهم 0000,بينهم ,between them
4000,مخطئة 0000,مخطئة ,Wrong
4001,الصحافة 0000,الصحافة ,the press
4002,تتمكن 0000,تتمكن ,You can
4003,مهتمة 0000,مهتمة ,Interested
4004,نائم 0000,نائم ,sleeping
4005,المشفى 0000,المشفى ,Hospital
4006,مقاطعة 0000,مقاطعة ,boycott
4007,المحادثة 0000,المحادثة ,Conversation
4008,جاري 0000,جاري ,my neighbour
4009,القصر 0000,القصر ,the palace
4010,قدمي 0000,قدمي ,my foot
4011,بوسطن 0000,بوسطن ,Boston
4012,حزينة 0000,حزينة ,Sad
4013,لولا 0000,لولا ,If not
4014,توبي 0000,توبي ,Toby
4015,متأكده 0000,متأكده ,Surely
4016,الصحيحة 0000,الصحيحة ,Right
4017,الشتاء 0000,الشتاء ,winter
4018,أنتهي 0000,أنتهي ,is over
4019,القبو 0000,القبو ,the basement
4020,للأطفال 0000,للأطفال ,for kids
4021,الخطوة 0000,الخطوة ,Step
4022,جسدي 0000,جسدي ,physical
4023,مليء 0000,مليء ,full of
4024,كيرا 0000,كيرا ,Keira
4025,نجاح 0000,نجاح ,Success
4026,اختفت 0000,اختفت ,Disappearance
4027,تتذكرين 0000,تتذكرين ,You remember
4028,بتهمة 0000,بتهمة ,On charges
4029,صوفي 0000,صوفي ,Sufi
4030,your 0000,your ,Your
4031,دقيقتين 0000,دقيقتين ,Two minutes
4032,يتحدثون 0000,يتحدثون ,they speak
4033,جوليان 0000,جوليان ,Julian
4034,أمسكت 0000,أمسكت ,I caught
4035,الخاطئ 0000,الخاطئ ,Sinner
4036,ثقي 0000,ثقي ,Trustworthy
4037,أبوس 0000,أبوس ,Abous
4038,سنجد 0000,سنجد ,We will find
4039,الدولة 0000,الدولة ,The state
4040,لأخذ 0000,لأخذ ,To take
4041,اكتشف 0000,اكتشف ,Discover
4042,الرصاصة 0000,الرصاصة ,Bullet
4043,للشرطة 0000,للشرطة ,Police
4044,تزوجت 0000,تزوجت ,got married
4045,عدنا 0000,عدنا ,We are back
4046,لجعل 0000,لجعل ,To make
4047,اللورد 0000,اللورد ,Lord
4048,إيمي 0000,إيمي ,Amy
4049,اخبار 0000,اخبار ,News
4050,شأنك 0000,شأنك ,Your affairs
4051,ضعي 0000,ضعي ,Put
4052,التواصل 0000,التواصل ,communication
4053,بندقية 0000,بندقية ,Gun
4054,أتأكد 0000,أتأكد ,make sure
4055,تذكرة 0000,تذكرة ,a ticket
4056,لأمر 0000,لأمر ,To the order
4057,أستخدم 0000,أستخدم ,use
4058,فارغة 0000,فارغة ,Empty
4059,يفعلوا 0000,يفعلوا ,They do
4060,بالنظر 0000,بالنظر ,Looking
4061,ساعه 0000,ساعه ,Hour
4062,التغيير 0000,التغيير ,Change
4063,الجبال 0000,الجبال ,Mountains
4064,إيثان 0000,إيثان ,Ethan
4065,سادتي 0000,سادتي ,My pillow
4066,تركته 0000,تركته ,I left it
4067,صاحبي 0000,صاحبي ,my friend
4068,الأمامي 0000,الأمامي ,Front
4069,مياه 0000,مياه ,waters
4070,عشرين 0000,عشرين ,twenty
4071,المؤكد 0000,المؤكد ,Certain
4072,تسقط 0000,تسقط ,falling off
4073,ميلادي 0000,ميلادي ,ad
4074,أخت 0000,أخت ,sister
4075,اسمح 0000,اسمح ,Allow
4076,النقيب 0000,النقيب ,Captain
4077,مذكرة 0000,مذكرة ,note
4078,نتعامل 0000,نتعامل ,We deal
4079,ليوم 0000,ليوم ,Day
4080,الانترنت 0000,الانترنت ,Internet
4081,هيل 0000,هيل ,cardamom
4082,لآخر 0000,لآخر ,To another
4083,باور 0000,باور ,Power
4084,كارولين 0000,كارولين ,Caroline
4085,نطاق 0000,نطاق ,Domain
4086,المعرفة 0000,المعرفة ,Knowledge
4087,أخطأت 0000,أخطأت ,I made a mistake
4088,المحرك 0000,المحرك ,the engine
4089,ذكرى 0000,ذكرى ,memory
4090,أعطاني 0000,أعطاني ,He gave me
4091,أصحاب 0000,أصحاب ,friends
4092,قبعة 0000,قبعة ,hat
4093,العاصمة 0000,العاصمة ,Capital
4094,مسؤول 0000,مسؤول ,responsible
4095,اسبوع 0000,اسبوع ,a week
4096,هارولد 0000,هارولد ,Harold
4097,الرئيسة 0000,الرئيسة ,Chief
4098,الكامل 0000,الكامل ,Full
4099,الوفاة 0000,الوفاة ,Death
4100,كى 0000,كى ,in order to
4101,قصص 0000,قصص ,Stories
4102,وظيفتي 0000,وظيفتي ,My job
4103,تشاهد 0000,تشاهد ,You see
4104,بالجلوس 0000,بالجلوس ,By sitting
4105,مشهد 0000,مشهد ,Scene
4106,ميلر 0000,ميلر ,Miller
4107,جنود 0000,جنود ,Soldiers
4108,بالسيارة 0000,بالسيارة ,Car
4109,المرحاض 0000,المرحاض ,Toilet
4110,التنين 0000,التنين ,the Dragon
4111,سيستغرق 0000,سيستغرق ,It will take
4112,تعرفني 0000,تعرفني ,do you know me
4113,الأخضر 0000,الأخضر ,the green
4114,مت 0000,مت ,die
4115,ليلى 0000,ليلى ,Layla
4116,حاليا 0000,حاليا ,Currently
4117,حقيقى 0000,حقيقى ,TRUE
4118,الايام 0000,الايام ,the days
4119,أندرو 0000,أندرو ,Andrew
4120,سأفعله 0000,سأفعله ,I will do it
4121,العادة 0000,العادة ,Habit
4122,مكتبك 0000,مكتبك ,Your office
4123,الحيوان 0000,الحيوان ,Animal
4124,بيانات 0000,بيانات ,Data
4125,الصحف 0000,الصحف ,Newspapers
4126,غلطة 0000,غلطة ,mistake
4127,الأمان 0000,الأمان ,Safety
4128,مقبول 0000,مقبول ,Acceptable
4129,المحاكمة 0000,المحاكمة ,Trial
4130,بأفضل 0000,بأفضل ,Best
4131,عندى 0000,عندى ,I have
4132,أقود 0000,أقود ,Lead
4133,بحياتي 0000,بحياتي ,in my life
4134,نتمكن 0000,نتمكن ,We can
4135,حيوانات 0000,حيوانات ,animals
4136,أحسن 0000,أحسن ,better
4137,ملكي 0000,ملكي ,my king
4138,المالية 0000,المالية ,Finance
4139,لحماية 0000,لحماية ,To protect
4140,الأمـر 0000,الأمـر ,Command
4141,الجد 0000,الجد ,Grandpa
4142,what 0000,what ,What
4143,بجوار 0000,بجوار ,next to
4144,الخميس 0000,الخميس ,Thursday
4145,بمفردي 0000,بمفردي ,Alone
4146,جنس 0000,جنس ,sex
4147,تستطيعي 0000,تستطيعي ,You can
4148,متعة 0000,متعة ,Pleasure
4149,باردة 0000,باردة ,cold
4150,اقدر 0000,اقدر ,I can
4151,تيدي 0000,تيدي ,Teddy
4152,يسمع 0000,يسمع ,He hears
4153,نرحل 0000,نرحل ,We leave
4154,الخلفية 0000,الخلفية ,the background
4155,فيجب 0000,فيجب ,It must
4156,اللوم 0000,اللوم ,Blame
4157,أميال 0000,أميال ,Miles
4158,فزت 0000,فزت ,I won
4159,العربة 0000,العربة ,Vehicle
4160,الفن 0000,الفن ,the art
4161,فلوريدا 0000,فلوريدا ,Florida
4162,مذنب 0000,مذنب ,sinner
4163,إضافة 0000,إضافة ,addition
4164,طبق 0000,طبق ,Dish
4165,إثارة 0000,إثارة ,excitement
4166,للعب 0000,للعب ,To play
4167,السكر 0000,السكر ,Sugar
4168,المقبلة 0000,المقبلة ,Future
4169,أيمكن 0000,أيمكن ,Is it possible
4170,معجزة 0000,معجزة ,miracle
4171,دعم 0000,دعم ,to support
4172,تقترب 0000,تقترب ,Close
4173,ولست 0000,ولست ,I am not
4174,جاهزون 0000,جاهزون ,Prejudice
4175,الطلاب 0000,الطلاب ,the students
4176,لكان 0000,لكان ,It would have been
4177,عليكي 0000,عليكي ,on you
4178,الضرائب 0000,الضرائب ,Taxes
4179,للاهتمام 0000,للاهتمام ,Interesting
4180,قادرين 0000,قادرين ,Capable
4181,الواحدة 0000,الواحدة ,One
4182,أقم 0000,أقم ,Set up
4183,مخرج 0000,مخرج ,Director
4184,محادثة 0000,محادثة ,conversation
4185,الصدر 0000,الصدر ,the chest
4186,إنـه 0000,إنـه ,It is
4187,خطاب 0000,خطاب ,Speech
4188,نائمة 0000,نائمة ,sleeping
4189,أبيك 0000,أبيك ,Your father
4190,الدماغ 0000,الدماغ ,the brain
4191,بيرة 0000,بيرة ,beer
4192,اشتريت 0000,اشتريت ,I bought
4193,برج 0000,برج ,tower
4194,سيكونون 0000,سيكونون ,They will be
4195,زلنا 0000,زلنا ,We are removed
4196,كأنني 0000,كأنني ,As if
4197,بطاقات 0000,بطاقات ,Cards
4198,مان 0000,مان ,Mine
4199,صدمة 0000,صدمة ,shock
4200,اما 0000,اما ,As for
4201,أدلة 0000,أدلة ,clues
4202,الأخر 0000,الأخر ,The other
4203,حزين 0000,حزين ,sad
4204,بإسم 0000,بإسم ,Basim
4205,المدينه 0000,المدينه ,City
4206,يصعب 0000,يصعب ,It is difficult
4207,بالسوء 0000,بالسوء ,Badly
4208,جوردن 0000,جوردن ,Jordan
4209,ولذلك 0000,ولذلك ,Therefore
4210,استمتع 0000,استمتع ,Have fun
4211,ماثيو 0000,ماثيو ,Matthew
4212,امى 0000,امى ,my mother
4213,الف 0000,الف ,a thousand
4214,أندي 0000,أندي ,dew
4215,ينام 0000,ينام ,Sleeps
4216,عميق 0000,عميق ,deep
4217,طوني 0000,طوني ,Tony
4218,شأن 0000,شأن ,Affair
4219,أعنيه 0000,أعنيه ,I mean
4220,بالوقت 0000,بالوقت ,At the time
4221,الجسد 0000,الجسد ,Body
4222,الرائد 0000,الرائد ,Pioneer
4223,البشري 0000,البشري ,Human
4224,الجلد 0000,الجلد ,Skin
4225,ناحية 0000,ناحية ,Aspect
4226,مالي 0000,مالي ,Financial
4227,شكر 0000,شكر ,to thank
4228,ضحية 0000,ضحية ,victim
4229,تقتلني 0000,تقتلني ,You kill me
4230,قذر 0000,قذر ,nasty
4231,الآلهة 0000,الآلهة ,Gods
4232,كبار 0000,كبار ,Senior
4233,البحيرة 0000,البحيرة ,the lake
4234,بأحد 0000,بأحد ,By one
4235,جيسون 0000,جيسون ,Jason
4236,البكاء 0000,البكاء ,Crying
4237,تعودي 0000,تعودي ,Return
4238,الآلة 0000,الآلة ,god
4239,تعبث 0000,تعبث ,Tampering
4240,سنبدأ 0000,سنبدأ ,We will start
4241,للقلق 0000,للقلق ,For anxiety
4242,الحذاء 0000,الحذاء ,Shoe
4243,لإنقاذ 0000,لإنقاذ ,To save
4244,الحاكم 0000,الحاكم ,the ruler
4245,بكلمة 0000,بكلمة ,With a word
4246,مادة 0000,مادة ,Matter
4247,ورطة 0000,ورطة ,dilemma
4248,وغير 0000,وغير ,And
4249,اضطررت 0000,اضطررت ,I had to
4250,يرد 0000,يرد ,Respond
4251,أعيد 0000,أعيد ,Repeat
4252,طاقم 0000,طاقم ,crew
4253,حبيبتى 0000,حبيبتى ,My love
4254,الذكريات 0000,الذكريات ,Memories
4255,القراءة 0000,القراءة ,reading
4256,ترسل 0000,ترسل ,Send
4257,سمع 0000,سمع ,he heard
4258,يتصرف 0000,يتصرف ,behave
4259,مميزة 0000,مميزة ,Distinctive
4260,أخبرنى 0000,أخبرنى ,tell me
4261,خارجا 0000,خارجا ,out
4262,معقد 0000,معقد ,Complex
4263,الأسماء 0000,الأسماء ,Names
4264,فيهم 0000,فيهم ,Including
4265,رايت 0000,رايت ,I have seen
4266,تجلب 0000,تجلب ,Bring
4267,للموت 0000,للموت ,For death
4268,آجل 0000,آجل ,Yes
4269,ستجد 0000,ستجد ,You will find
4270,قمة 0000,قمة ,summit
4271,انظرى 0000,انظرى ,Look
4272,طالب 0000,طالب ,Student
4273,نظيفة 0000,نظيفة ,Clean
4274,ماحدث 0000,ماحدث ,What's happened
4275,الحذر 0000,الحذر ,caution
4276,إنذار 0000,إنذار ,Warning
4277,ماالذي 0000,ماالذي ,What
4278,التلفزيون 0000,التلفزيون ,Television
4279,عملاء 0000,عملاء ,Client
4280,تاي 0000,تاي ,Tai
4281,الربيع 0000,الربيع ,spring
4282,لجنة 0000,لجنة ,A committee
4283,بشأنك 0000,بشأنك ,About you
4284,هدوء 0000,هدوء ,calm
4285,خنزير 0000,خنزير ,Pig
4286,تحبه 0000,تحبه ,you love him
4287,تعتبر 0000,تعتبر ,considered as
4288,كارثة 0000,كارثة ,disaster
4289,احتجت 0000,احتجت ,I needed
4290,المأمور 0000,المأمور ,Warden
4291,الفترة 0000,الفترة ,Period
4292,طرف 0000,طرف ,party
4293,بدء 0000,بدء ,Starting
4294,تتعلم 0000,تتعلم ,Learn
4295,احمق 0000,احمق ,Foolish
4296,مسرورة 0000,مسرورة ,Deliberate
4297,الحبل 0000,الحبل ,Cord
4298,بغض 0000,بغض ,Hateful
4299,الهدايا 0000,الهدايا ,Gifts
4300,عامين 0000,عامين ,Two years
4301,سنه 0000,سنه ,Year
4302,مبكر 0000,مبكر ,early
4303,السرقة 0000,السرقة ,Stealing
4304,مؤكد 0000,مؤكد ,Certain
4305,البقية 0000,البقية ,The rest
4306,مفاتيح 0000,مفاتيح ,Keys
4307,البناء 0000,البناء ,Building
4308,نهر 0000,نهر ,River
4309,منع 0000,منع ,Prevent
4310,مزرعة 0000,مزرعة ,Farm
4311,أعرفها 0000,أعرفها ,I know it
4312,برؤيتك 0000,برؤيتك ,See you
4313,بوني 0000,بوني ,Bonnic
4314,يفهم 0000,يفهم ,Understand
4315,بيدي 0000,بيدي ,My hand
4316,بقليل 0000,بقليل ,Slightly
4317,صغيره 0000,صغيره ,Small
4318,المحلية 0000,المحلية ,Local
4319,ابنه 0000,ابنه ,daughter
4320,ننتهي 0000,ننتهي ,We finish
4321,بام 0000,بام ,Bamy
4322,جبان 0000,جبان ,coward
4323,القطع 0000,القطع ,Cut
4324,نظيف 0000,نظيف ,clean
4325,يصنع 0000,يصنع ,Make
4326,قناة 0000,قناة ,Channel
4327,أسم 0000,أسم ,Noun
4328,السكين 0000,السكين ,the knife
4329,جرح 0000,جرح ,injury
4330,رأينا 0000,رأينا ,We saw
4331,الجوية 0000,الجوية ,Air
4332,اجد 0000,اجد ,I find
4333,ستقول 0000,ستقول ,You will say
4334,ستذهبين 0000,ستذهبين ,You will go
4335,الأحلام 0000,الأحلام ,Dreams
4336,ارفع 0000,ارفع ,take up
4337,نتحرك 0000,نتحرك ,We move
4338,رسمي 0000,رسمي ,Official
4339,مضحكة 0000,مضحكة ,Funny
4340,يأتى 0000,يأتى ,Come
4341,الشمالية 0000,الشمالية ,Northern
4342,تخطط 0000,تخطط ,Plans
4343,القليلة 0000,القليلة ,Few
4344,بمفردك 0000,بمفردك ,Alone
4345,الغرب 0000,الغرب ,the West
4346,الحاسوب 0000,الحاسوب ,the computer
4347,الطاقم 0000,الطاقم ,the crew
4348,ممنوع 0000,ممنوع ,Forbidden
4349,يقال 0000,يقال ,It said
4350,اطفال 0000,اطفال ,Children
4351,خذها 0000,خذها ,Take it
4352,المتاعب 0000,المتاعب ,Troubles
4353,ضعيفة 0000,ضعيفة ,Weak
4354,يموتون 0000,يموتون ,They die
4355,الجولة 0000,الجولة ,Tour
4356,كذالك 0000,كذالك ,Likewise
4357,مارج 0000,مارج ,Dagge
4358,دوني 0000,دوني ,Dungeon
4359,مفقودة 0000,مفقودة ,Missing
4360,المقاطعة 0000,المقاطعة ,Boycott
4361,الدرج 0000,الدرج ,Stairs
4362,يتمكن 0000,يتمكن ,Manage
4363,باستخدام 0000,باستخدام ,using
4364,إفتح 0000,إفتح ,Open
4365,كلامك 0000,كلامك ,Your words
4366,الأخ 0000,الأخ ,the brother
4367,حلقة 0000,حلقة ,episode
4368,الأكل 0000,الأكل ,eater
4369,يود 0000,يود ,He would like
4370,أكمل 0000,أكمل ,Complete
4371,درس 0000,درس ,Lesson
4372,الحل 0000,الحل ,The solution
4373,نانسي 0000,نانسي ,Nancy
4374,سنحتاج 0000,سنحتاج ,We will need
4375,المدة 0000,المدة ,Period
4376,الأرضية 0000,الأرضية ,Floor
4377,الدراسة 0000,الدراسة ,the study
4378,جيسيكا 0000,جيسيكا ,Jessica
4379,مانع 0000,مانع ,Mind
4380,بالبحث 0000,بالبحث ,By research
4381,لعنة 0000,لعنة ,a curse
4382,مثلنا 0000,مثلنا ,Like us
4383,انتظار 0000,انتظار ,waiting
4384,الشرير 0000,الشرير ,Wicked
4385,يؤدي 0000,يؤدي ,Lead
4386,مسابقة 0000,مسابقة ,Contest
4387,تشاء 0000,تشاء ,You like
4388,يقدم 0000,يقدم ,Presents
4389,أنجيلا 0000,أنجيلا ,Angela
4390,احتمال 0000,احتمال ,Prospect
4391,أنتهى 0000,أنتهى ,is over
4392,يشير 0000,يشير ,Indicates
4393,الجيران 0000,الجيران ,Neighbour
4394,الشهود 0000,الشهود ,Witnesses
4395,اليابان 0000,اليابان ,Japan
4396,النجاة 0000,النجاة ,Survival
4397,الصراخ 0000,الصراخ ,Screaming
4398,المطلوب 0000,المطلوب ,Required
4399,البنات 0000,البنات ,Girls
4400,السيف 0000,السيف ,Sword
4401,أحظى 0000,أحظى ,Be
4402,إليزابيث 0000,إليزابيث ,Elizabeth
4403,الميت 0000,الميت ,dead
4404,يسوع 0000,يسوع ,Jesus
4405,الأريكة 0000,الأريكة ,a couch
4406,تتركني 0000,تتركني ,Leave me
4407,تينا 0000,تينا ,Tina
4408,بلطف 0000,بلطف ,nicely
4409,برفقة 0000,برفقة ,Accompanied
4410,فكري 0000,فكري ,Intellectual
4411,لإيجاد 0000,لإيجاد ,To find
4412,الطائر 0000,الطائر ,the bird
4413,الصمت 0000,الصمت ,Silence
4414,أبتعد 0000,أبتعد ,step away
4415,للأمر 0000,للأمر ,For the matter
4416,الإسم 0000,الإسم ,The name
4417,أجلب 0000,أجلب ,Bring
4418,ويلي 0000,ويلي ,Fill
4419,المعتاد 0000,المعتاد ,the usual
4420,تذكرت 0000,تذكرت ,I remembered
4421,جايسون 0000,جايسون ,Jason
4422,تحذير 0000,تحذير ,warning
4423,لمجرد 0000,لمجرد ,Merely
4424,أنصت 0000,أنصت ,listen
4425,وكأنني 0000,وكأنني ,As if
4426,لأكثر 0000,لأكثر ,More
4427,وقف 0000,وقف ,stood up
4428,الأضواء 0000,الأضواء ,Lights
4429,غطاء 0000,غطاء ,cover
4430,تتعامل 0000,تتعامل ,Deal
4431,إلين 0000,إلين ,Ellen
4432,بسلام 0000,بسلام ,safely
4433,نلتقي 0000,نلتقي ,We meet
4434,اتعرف 0000,اتعرف ,Learn
4435,كاسل 0000,كاسل ,Cable
4436,بشأنها 0000,بشأنها ,It
4437,أفتح 0000,أفتح ,Open
4438,الشرقي 0000,الشرقي ,Oriental
4439,تتم 0000,تتم ,Complete
4440,الطريقه 0000,الطريقه ,The way
4441,فطيرة 0000,فطيرة ,Pie
4442,سار 0000,سار ,he walked
4443,دواعي 0000,دواعي ,Disagreement
4444,نوم 0000,نوم ,sleep
4445,للوقت 0000,للوقت ,For time
4446,انتما 0000,انتما ,you
4447,دكتورة 0000,دكتورة ,female doctor
4448,أنهي 0000,أنهي ,finish
4449,مجرم 0000,مجرم ,criminal
4450,دانييل 0000,دانييل ,Daniel
4451,الحمد 0000,الحمد ,Praise
4452,الاجتماع 0000,الاجتماع ,the meeting
4453,تصرخ 0000,تصرخ ,Scream
4454,حمراء 0000,حمراء ,Red
4455,شرير 0000,شرير ,evil
4456,يحبك 0000,يحبك ,loves you
4457,تجرؤ 0000,تجرؤ ,Dare
4458,حرارة 0000,حرارة ,heat
4459,والديك 0000,والديك ,your parents
4460,القذارة 0000,القذارة ,Filth
4461,أحتاجك 0000,أحتاجك ,I need you
4462,المحل 0000,المحل ,Shop
4463,غلطتي 0000,غلطتي ,My mistake
4464,سأتحدث 0000,سأتحدث ,I will talk
4465,اسمعني 0000,اسمعني ,listen to me
4466,هذان 0000,هذان ,These two
4467,مباشر 0000,مباشر ,Live
4468,أفقد 0000,أفقد ,Lord
4469,المقابل 0000,المقابل ,Opposite
4470,رخصة 0000,رخصة ,license
4471,أثبت 0000,أثبت ,Proved
4472,سرطان 0000,سرطان ,cancer
4473,المكتبة 0000,المكتبة ,the library
4474,الثلاث 0000,الثلاث ,Three
4475,الطائرات 0000,الطائرات ,Planes
4476,سنتحدث 0000,سنتحدث ,We will talk
4477,سيبقى 0000,سيبقى ,It will remain
4478,للسجن 0000,للسجن ,To be imprisoned
4479,يبدون 0000,يبدون ,They seem
4480,الوزن 0000,الوزن ,weight
4481,لانا 0000,لانا ,Lana
4482,مقعد 0000,مقعد ,seat
4483,صوفيا 0000,صوفيا ,Sofia
4484,تابع 0000,تابع ,Follow
4485,بريء 0000,بريء ,Innocent
4486,فهل 0000,فهل ,So is it?
4487,السابع 0000,السابع ,Seventh
4488,هاهو 0000,هاهو ,there he is
