nonsense,arabic,english 
قانون 0000,قانون ,Law
أبدأ 0000,أبدأ ,Start
مخدرات 0000,مخدرات ,drugs
للتحدث 0000,للتحدث ,To speak
الحافلة 0000,الحافلة ,The bus
نيو 0000,نيو ,New
أنفسنا 0000,أنفسنا ,ourselves
دع 0000,دع ,Go
المباحث 0000,المباحث ,Detective
لأجلك 0000,لأجلك ,For you
تعلمت 0000,تعلمت ,I learned
ذهبنا 0000,ذهبنا ,We went
استطعت 0000,استطعت ,I managed
يضع 0000,يضع ,Puts
وقالت 0000,وقالت ,Say
أسأل 0000,أسأل ,Ask
أرد 0000,أرد ,Answer
سجن 0000,سجن ,prison
ساعتين 0000,ساعتين ,Two hours
ابنة 0000,ابنة ,daughter
رحلت 0000,رحلت ,Go
الاقل 0000,الاقل ,the least
السطح 0000,السطح ,Surface
جلبت 0000,جلبت ,Brought
يتصل 0000,يتصل ,communicate
القوات 0000,القوات ,Forces
السابعة 0000,السابعة ,Seventh
وجدتها 0000,وجدتها ,I found it
النووي 0000,النووي ,Nuclear
عمري 0000,عمري ,age
ينظر 0000,ينظر ,look
وجبة 0000,وجبة ,a meal
المجموعة 0000,المجموعة ,the group
إليهم 0000,إليهم ,To them
الحرارة 0000,الحرارة ,the heat
حاضر 0000,حاضر ,Present
لتناول 0000,لتناول ,To take
أوقف 0000,أوقف ,arrested
حساب 0000,حساب ,account
يعملون 0000,يعملون ,Working
خطب 0000,خطب ,Preacher
عذرا 0000,عذرا ,Excuse me
كـان 0000,كـان ,It was
السرية 0000,السرية ,Secrecy
النظرة 0000,النظرة ,Perception
أتظن 0000,أتظن ,I think
أهم 0000,أهم ,More important
للداخل 0000,للداخل ,Inside
طيلة 0000,طيلة ,As a whole
أنسى 0000,أنسى ,Forget
أقتل 0000,أقتل ,Kill
علاج 0000,علاج ,treatment
حانة 0000,حانة ,pub
بقتل 0000,بقتل ,Killing
شابه 0000,شابه ,Similar
روما 0000,روما ,Rome
تراجع 0000,تراجع ,to retreat
عادي 0000,عادي ,Normal
تراه 0000,تراه ,You see it
الفصل 0000,الفصل ,the classroom
مثالي 0000,مثالي ,ideal
لكما 0000,لكما ,To
رأيي 0000,رأيي ,My opinion
السمك 0000,السمك ,Fish
أهناك 0000,أهناك ,There is
جائع 0000,جائع ,hungry
سرقت 0000,سرقت ,Stole
المرور 0000,المرور ,the traffic
أهذه 0000,أهذه ,Is this
المجيء 0000,المجيء ,Advent
اتعلم 0000,اتعلم ,you know what
السفر 0000,السفر ,Travel
سقطت 0000,سقطت ,Fell
فنحن 0000,فنحن ,We are
نتكلم 0000,نتكلم ,we talk
أليست 0000,أليست ,Isn't it?
مباراة 0000,مباراة ,match
كارين 0000,كارين ,Jerk
فضلكم 0000,فضلكم ,Please
عبارة 0000,عبارة ,phrase
هدف 0000,هدف ,Goal
كايت 0000,كايت ,Kate
تطلق 0000,تطلق ,Release
ديف 0000,ديف ,Dave
أؤمن 0000,أؤمن ,I believe
نخب 0000,نخب ,toast
آرثر 0000,آرثر ,Arthur
ملابسك 0000,ملابسك ,Your clothes
السريع 0000,السريع ,Rapid
الخلفي 0000,الخلفي ,Rear
الاطلاق 0000,الاطلاق ,Release
الجنود 0000,الجنود ,Soldiers
أعطيك 0000,أعطيك ,I give you
سأعطيك 0000,سأعطيك ,I'll give you
رد 0000,رد ,to reply
نتيجة 0000,نتيجة ,result
حياتى 0000,حياتى ,my life
عنده 0000,عنده ,Has
لـم 0000,لـم ,No
تتصرف 0000,تتصرف ,Act
تقف 0000,تقف ,Stand
كين 0000,كين ,Ken
الروح 0000,الروح ,Spirit
كلاكما 0000,كلاكما ,both of you
تجلس 0000,تجلس ,Sit
ملكة 0000,ملكة ,queen
العدالة 0000,العدالة ,Justice
الأوراق 0000,الأوراق ,Papers
me 0000,me ,Me
كسر 0000,كسر ,broke down
براين 0000,براين ,Brian
أنظروا 0000,أنظروا ,Look
الهروب 0000,الهروب ,Escape
الأفلام 0000,الأفلام ,the movies
هاتفك 0000,هاتفك ,your phone
يمر 0000,يمر ,Pass
اهتم 0000,اهتم ,Take care of
بالكثير 0000,بالكثير ,Many
وحيد 0000,وحيد ,Single
لتكون 0000,لتكون ,To be
أه 0000,أه ,Uh
جاءت 0000,جاءت ,Come
سجل 0000,سجل ,register
ستعود 0000,ستعود ,You will return
تجري 0000,تجري ,take place
الجنون 0000,الجنون ,Madness
الاول 0000,الاول ,the first
المباراة 0000,المباراة ,the match
لنفسي 0000,لنفسي ,For myself
شاهدت 0000,شاهدت ,I watched
بابا 0000,بابا ,Baba
إبتعد 0000,إبتعد ,step away
يدور 0000,يدور ,Spins
مراقبة 0000,مراقبة ,control
فيكتور 0000,فيكتور ,Victor
حدثت 0000,حدثت ,It happened
أشبه 0000,أشبه ,Similar
بسرعه 0000,بسرعه ,Quickly
جاكسون 0000,جاكسون ,Jackson
لون 0000,لون ,color
قادمون 0000,قادمون ,Coming
هربت 0000,هربت ,I fled
صوتك 0000,صوتك ,Your voice
واضحة 0000,واضحة ,Clear
لوسي 0000,لوسي ,Lucy
أحببت 0000,أحببت ,I loved
الذهب 0000,الذهب ,gold
سأبقى 0000,سأبقى ,I will stay
قريبة 0000,قريبة ,female relative
مقرف 0000,مقرف ,disgusting
وأبوس 0000,وأبوس ,And Abous
مشروع 0000,مشروع ,project
قراءة 0000,قراءة ,reading
فرنسا 0000,فرنسا ,France
شجرة 0000,شجرة ,Tree
تلقيت 0000,تلقيت ,I received
موسيقى 0000,موسيقى ,Music
جايك 0000,جايك ,Jake
الخامس 0000,الخامس ,Fifth
تفعلون 0000,تفعلون ,You do
المغادرة 0000,المغادرة ,Departure
هومر 0000,هومر ,Homer
خسرت 0000,خسرت ,I lost
إس 0000,إس ,S
المرحلة 0000,المرحلة ,Stage
اصبحت 0000,اصبحت ,I became
لانك 0000,لانك ,because you are
للأعلى 0000,للأعلى ,to up
الإنترنت 0000,الإنترنت ,Internet
القرن 0000,القرن ,Century
اخبرتك 0000,اخبرتك ,I told you
عمرك 0000,عمرك ,Your age
علاقتنا 0000,علاقتنا ,Our relationship
أخبرته 0000,أخبرته ,I told him
القنبلة 0000,القنبلة ,the bomb
الخدمة 0000,الخدمة ,the service
آخرين 0000,آخرين ,Others
ذكية 0000,ذكية ,Smart
للبحث 0000,للبحث ,Search
نقود 0000,نقود ,cash
تحدثنا 0000,تحدثنا ,We talked
لرجل 0000,لرجل ,For a man
الأماكن 0000,الأماكن ,the places
إدارة 0000,إدارة ,Management
لشيء 0000,لشيء ,For something
تفهمين 0000,تفهمين ,Understanding
ليكون 0000,ليكون ,To be
غضون 0000,غضون ,Anesthetic
أدفع 0000,أدفع ,Push
فريد 0000,فريد ,Unique
أعظم 0000,أعظم ,greatest
الأمل 0000,الأمل ,Hope
يخبرني 0000,يخبرني ,He tells me
السعادة 0000,السعادة ,His Excellency
واحدا 0000,واحدا ,One
أمسك 0000,أمسك ,Catch
إسمه 0000,إسمه ,its name
تسعة 0000,تسعة ,nine
رجلا 0000,رجلا ,Man
أسمح 0000,أسمح ,Suggest
جزيرة 0000,جزيرة ,Island
الأدلة 0000,الأدلة ,Evidence
مهتم 0000,مهتم ,interested
بمكان 0000,بمكان ,In a place
الاولى 0000,الاولى ,The first
بوجود 0000,بوجود ,Exist
أجله 0000,أجله ,Sake
مزحة 0000,مزحة ,a joke
التصرف 0000,التصرف ,Behavior
دعه 0000,دعه ,Leave it
العلوي 0000,العلوي ,Alevi
لأول 0000,لأول ,For the first
لأكون 0000,لأكون ,To be
ألست 0000,ألست ,Not
الجنرال 0000,الجنرال ,The general
حلوى 0000,حلوى ,Candy
الحضور 0000,الحضور ,Attendees
فينس 0000,فينس ,Vince
كفى 0000,كفى ,Is enough
ريك 0000,ريك ,Rick
سعداء 0000,سعداء ,Happy
أدركت 0000,أدركت ,I realized
أجمل 0000,أجمل ,The most beautiful
أختك 0000,أختك ,your sister
الدليل 0000,الدليل ,Guide
ضخم 0000,ضخم ,enormous
بهدوء 0000,بهدوء ,quietly
اصدق 0000,اصدق ,believe
العاشرة 0000,العاشرة ,tenth
الهند 0000,الهند ,India
الحي 0000,الحي ,Neighborhood
عم 0000,عم ,paternal uncle
شقة 0000,شقة ,apartment
of 0000,of ,of
بعمر 0000,بعمر ,Age
تستمع 0000,تستمع ,she listens
جماعة 0000,جماعة ,group
الفيدرالية 0000,الفيدرالية ,Federalism
جونز 0000,جونز ,Jones
يقود 0000,يقود ,Lead
البيانات 0000,البيانات ,data
السير 0000,السير ,Walk
ابنتك 0000,ابنتك ,your daughter
الكابتن 0000,الكابتن ,Captain
يتحرك 0000,يتحرك ,Move
يطلق 0000,يطلق ,launch
أصدقائك 0000,أصدقائك ,Your friends
إننى 0000,إننى ,I am
ايام 0000,ايام ,days
ماك 0000,ماك ,Mac
إتصل 0000,إتصل ,Call
معقول 0000,معقول ,reasonable
الأغنية 0000,الأغنية ,the song
عيني 0000,عيني ,Eyes
وحده 0000,وحده ,lonliness
لسبب 0000,لسبب ,For
الشرطي 0000,الشرطي ,policeman
تقومين 0000,تقومين ,You are doing
شاذ 0000,شاذ ,anomaly
الشوارع 0000,الشوارع ,Streets
مسرور 0000,مسرور ,pleased
سيارات 0000,سيارات ,Cars
فما 0000,فما ,So
ينتظر 0000,ينتظر ,Waiting
التخلص 0000,التخلص ,get rid of
أسهل 0000,أسهل ,Easier
أكذب 0000,أكذب ,I lie
الأوقات 0000,الأوقات ,times
التدريب 0000,التدريب ,Training
سعيدا 0000,سعيدا ,Happy
سأراك 0000,سأراك ,I'll see you
زي 0000,زي ,costume
نجحت 0000,نجحت ,I passed
مشغولة 0000,مشغولة ,busy
بالتحديد 0000,بالتحديد ,particulary
بحلول 0000,بحلول ,By solutions
زاك 0000,زاك ,Zack
الشكر 0000,الشكر ,Thanks
الإثنان 0000,الإثنان ,The two
ستصبح 0000,ستصبح ,You will become
السلطة 0000,السلطة ,Authority
تعرض 0000,تعرض ,exposure
يحاولون 0000,يحاولون ,They try
اية 0000,اية ,any
translated 0000,translated ,Translated
أبيض 0000,أبيض ,white
أمن 0000,أمن ,security
جيل 0000,جيل ,generation
العدو 0000,العدو ,the enemy
لكنت 0000,لكنت ,I got
ستيفن 0000,ستيفن ,Steven
تصديق 0000,تصديق ,ratification
وقتها 0000,وقتها ,At that time
التاسعة 0000,التاسعة ,Ninth
كونك 0000,كونك ,Being
العنوان 0000,العنوان ,the address
بارت 0000,بارت ,Bart
عجوز 0000,عجوز ,old person
جزيلا 0000,جزيلا ,So much
اراك 0000,اراك ,See you
طريقنا 0000,طريقنا ,Our way
اقل 0000,اقل ,Less
إسمي 0000,إسمي ,My name is
الحرية 0000,الحرية ,Freedom
ديريك 0000,ديريك ,Derek
بقي 0000,بقي ,stayed
قضاء 0000,قضاء ,Judiciary
صنعت 0000,صنعت ,Manufactured
m 0000,m ,m
يقف 0000,يقف ,stands up
الوحدة 0000,الوحدة ,Unit
قتلي 0000,قتلي ,Killing
التنفس 0000,التنفس ,Breathing
ليزا 0000,ليزا ,Lisa
ياله 0000,ياله ,Oh
لين 0000,لين ,flexible
الواحد 0000,الواحد ,the one
اكتشفت 0000,اكتشفت ,I discovered
لرؤيتك 0000,لرؤيتك ,to see you
معركة 0000,معركة ,battle
تسبب 0000,تسبب ,it causes
لوحدك 0000,لوحدك ,On your own
ولكنى 0000,ولكنى ,But
زوي 0000,زوي ,Decay
حيوان 0000,حيوان ,animal
نظر 0000,نظر ,consideration
سرق 0000,سرق ,to steal
كريم 0000,كريم ,generous
اليد 0000,اليد ,Hand
أعترف 0000,أعترف ,He confessed
الجمال 0000,الجمال ,beauty
جعلني 0000,جعلني ,Make me
عنى 0000,عنى ,About Me
ونصف 0000,ونصف ,Half
الصبي 0000,الصبي ,Boy
طرق 0000,طرق ,Methods
حدوث 0000,حدوث ,happening
المستوى 0000,المستوى ,the level
اليمين 0000,اليمين ,right
اترك 0000,اترك ,Leave
كوين 0000,كوين ,Queen
تقع 0000,تقع ,Located
غرفتي 0000,غرفتي ,My room
الفراش 0000,الفراش ,Bed
ألعب 0000,ألعب ,I play
أكان 0000,أكان ,Was it
مناسبة 0000,مناسبة ,suitable
ممتعة 0000,ممتعة ,Fun
توقعت 0000,توقعت ,I expected
العمليات 0000,العمليات ,Processes
الحكم 0000,الحكم ,Ruling
خدعة 0000,خدعة ,Trick
صديقى 0000,صديقى ,my friend
دخول 0000,دخول ,Entry
كاري 0000,كاري ,curry
الجهاز 0000,الجهاز ,the device
الرصاص 0000,الرصاص ,Lead
أترين 0000,أترين ,Etreen
اليسار 0000,اليسار ,the left
يصدق 0000,يصدق ,Believe
دورك 0000,دورك ,Your turn
الأوان 0000,الأوان ,Time
شبكة 0000,شبكة ,Network
عصابة 0000,عصابة ,Gang
حدود 0000,حدود ,border
السوق 0000,السوق ,market
القواعد 0000,القواعد ,the rules
مستشفى 0000,مستشفى ,hospital
احدهم 0000,احدهم ,One of them
الكحول 0000,الكحول ,Alcohol
انتبه 0000,انتبه ,Whatch out
سأحاول 0000,سأحاول ,I'll try
هجوم 0000,هجوم ,attacks
أتمكن 0000,أتمكن ,I can
أعضاء 0000,أعضاء ,Members
رفيق 0000,رفيق ,Companion
هما 0000,هما ,They
إسمعي 0000,إسمعي ,Listen
طابت 0000,طابت ,Good
إخبارك 0000,إخبارك ,your news
الغضب 0000,الغضب ,Anger
البشرية 0000,البشرية ,Humanity
يعلمون 0000,يعلمون ,They know
الظهر 0000,الظهر ,noon
الإنسان 0000,الإنسان ,The human
الرائعة 0000,الرائعة ,Gorgeous
المشتبه 0000,المشتبه ,Suspect
الاثنان 0000,الاثنان ,The two
المستحيل 0000,المستحيل ,Impossible
ليسا 0000,ليسا ,Lisa
تمكنت 0000,تمكنت ,I managed
سر 0000,سر ,Secret
فخور 0000,فخور ,proud
مالك 0000,مالك ,Owner
أسلحة 0000,أسلحة ,arms
المسألة 0000,المسألة ,Issue
للخلف 0000,للخلف ,backwards
فوضى 0000,فوضى ,Mess
دعوني 0000,دعوني ,Leave me
that 0000,that ,That
عمرها 0000,عمرها ,Its life
الطوارئ 0000,الطوارئ ,Emergency
يفكر 0000,يفكر ,Think
نار 0000,نار ,Fire
وحش 0000,وحش ,Monster
بجدية 0000,بجدية ,seriously
القرية 0000,القرية ,the village
بشئ 0000,بشئ ,With something
المتجر 0000,المتجر ,the shop
سينتهي 0000,سينتهي ,It will end
اكبر 0000,اكبر ,Larger
الدفع 0000,الدفع ,paying off
يسير 0000,يسير ,Walking
المجتمع 0000,المجتمع ,the society
الحائط 0000,الحائط ,the wall
السباحة 0000,السباحة ,Swimming
الشقة 0000,الشقة ,Flat
جادة 0000,جادة ,Avenue
uh 0000,uh ,UH
يترك 0000,يترك ,Leaves
مررت 0000,مررت ,I passed
تبكي 0000,تبكي ,Cry
الحديقة 0000,الحديقة ,the garden
البدء 0000,البدء ,Starting
نظرت 0000,نظرت ,I looked
تنام 0000,تنام ,Sleep
سيعود 0000,سيعود ,will return
لهنا 0000,لهنا ,Here
اسرع 0000,اسرع ,Faster
القلق 0000,القلق ,Anxiety
الحمراء 0000,الحمراء ,Red
تعملين 0000,تعملين ,You are working
الخمر 0000,الخمر ,Wine
كتابة 0000,كتابة ,writing
يطلب 0000,يطلب ,Requests
المسكين 0000,المسكين ,Poor
سريعة 0000,سريعة ,A quick
أحبها 0000,أحبها ,Love her
تخيل 0000,تخيل ,to imagine
أسوء 0000,أسوء ,Worse
مخيف 0000,مخيف ,scary
المريض 0000,المريض ,the patient
الكعك 0000,الكعك ,Cakes
حمام 0000,حمام ,bathroom
بالطريقة 0000,بالطريقة ,In the way
تقبل 0000,تقبل ,Accept
باتريك 0000,باتريك ,Patrick
يعتبر 0000,يعتبر ,It is considered
الطفلة 0000,الطفلة ,The girl
دفعت 0000,دفعت ,Paid
كوب 0000,كوب ,Glass
إيقاف 0000,إيقاف ,turning off
ترغبين 0000,ترغبين ,You want
بنت 0000,بنت ,Girl
سرية 0000,سرية ,Secrecy
الخبر 0000,الخبر ,the news
تايلر 0000,تايلر ,Tyler
أعوام 0000,أعوام ,Years
شخصي 0000,شخصي ,Personal
روجر 0000,روجر ,Roger
أرجوكم 0000,أرجوكم ,Please
اختبار 0000,اختبار ,a test
الألعاب 0000,الألعاب ,the games
أفعلها 0000,أفعلها ,Do it
السنين 0000,السنين ,Years
نقاط 0000,نقاط ,points
باركر 0000,باركر ,Parker
لازال 0000,لازال ,Still
الرسائل 0000,الرسائل ,Messages
مفتوح 0000,مفتوح ,Open
تتوقع 0000,تتوقع ,Expected
طبيعية 0000,طبيعية ,Natural
يعنيه 0000,يعنيه ,Mean
أحمر 0000,أحمر ,red
العم 0000,العم ,uncle
أيا 0000,أيا ,Either
المرض 0000,المرض ,the disease
أنفسهم 0000,أنفسهم ,themselves
القوانين 0000,القوانين ,Laws
باسم 0000,باسم ,Basim
مولي 0000,مولي ,sire
الشمال 0000,الشمال ,North
اليها 0000,اليها ,to her
الخنزير 0000,الخنزير ,Pig
تشرب 0000,تشرب ,drink
للأسفل 0000,للأسفل ,Below
الدجاج 0000,الدجاج ,Chicken
استخدم 0000,استخدم ,use
الموعد 0000,الموعد ,The appointment
يالها 0000,يالها ,Oh her
وفاة 0000,وفاة ,death
كيفين 0000,كيفين ,Kevin
دولارات 0000,دولارات ,Dollars
كيفن 0000,كيفن ,Kevin
الأطباء 0000,الأطباء ,the doctors
ليلتك 0000,ليلتك ,Your night
أرادت 0000,أرادت ,she wanted
سيدتى 0000,سيدتى ,Madam
الأمير 0000,الأمير ,the prince
رائعه 0000,رائعه ,Fantastic
ترحل 0000,ترحل ,Go
الاشخاص 0000,الاشخاص ,People
أخيرا 0000,أخيرا ,finally
يو 0000,يو ,Yu
ابق 0000,ابق ,Stay
الصغار 0000,الصغار ,Young
قابل 0000,قابل ,Met
تعلمي 0000,تعلمي ,Learning
أصغر 0000,أصغر ,Smaller
البنك 0000,البنك ,the bank
سن 0000,سن ,age
خطأي 0000,خطأي ,My fault
ولدت 0000,ولدت ,I was born
انتظروا 0000,انتظروا ,Wait for
سميث 0000,سميث ,Smith
المطار 0000,المطار ,the airport
عقلي 0000,عقلي ,My mind
typesetting 0000,typesetting ,Typesetting
الضحايا 0000,الضحايا ,Victims
أمامي 0000,أمامي ,In front of me
شريك 0000,شريك ,partner
فات 0000,فات ,Miss
تستمر 0000,تستمر ,Continuing
الأحد 0000,الأحد ,Sunday
الحركة 0000,الحركة ,the movement
إهدأ 0000,إهدأ ,just chill
هاى 0000,هاى ,Hi
لمكان 0000,لمكان ,Place
هيلين 0000,هيلين ,Helen
البلد 0000,البلد ,Country
تدرك 0000,تدرك ,You realize
رسائل 0000,رسائل ,Messages
الجسم 0000,الجسم ,the body
طبعا 0000,طبعا ,naturally
للمرة 0000,للمرة ,For
السماح 0000,السماح ,Allow
اجتماع 0000,اجتماع ,Meeting
فيليب 0000,فيليب ,Philip
fnarabic 0000,fnarabic ,Fnarabic
in 0000,in ,in
تعاني 0000,تعاني ,Suffer
جرائم 0000,جرائم ,crimes
جلب 0000,جلب ,had brought
كأس 0000,كأس ,cup
العلم 0000,العلم ,Science
مذهلة 0000,مذهلة ,Amazing
شعرك 0000,شعرك ,Your hair
خطط 0000,خطط ,Plan
الأرواح 0000,الأرواح ,Souls
ساعدوني 0000,ساعدوني ,Help me
لأجلي 0000,لأجلي ,for me
ريبيكا 0000,ريبيكا ,Rebecca
السباق 0000,السباق ,Race
صعوبة 0000,صعوبة ,difficulty
هولي 0000,هولي ,Holly
اذهبوا 0000,اذهبوا ,Go
للعيش 0000,للعيش ,for living
بوقت 0000,بوقت ,At the time
الإجابة 0000,الإجابة ,the answer
نساء 0000,نساء ,women
تفعلها 0000,تفعلها ,Do it
سايمون 0000,سايمون ,Simon
الطبيعة 0000,الطبيعة ,nature
وحدي 0000,وحدي ,Alone
تقود 0000,تقود ,Lead
اللوحة 0000,اللوحة ,Board
مشاعر 0000,مشاعر ,feelings
الإثنين 0000,الإثنين ,Monday
عشرون 0000,عشرون ,twenty
أكتب 0000,أكتب ,Type
تيري 0000,تيري ,Terry
للوصول 0000,للوصول ,to reach
أوراق 0000,أوراق ,Leaves
يسمى 0000,يسمى ,he is called
انتهينا 0000,انتهينا ,We finished
ستحصل 0000,ستحصل ,You will get
جد 0000,جد ,grandfather
ماركوس 0000,ماركوس ,Marcos
ملابسي 0000,ملابسي ,Mysterious
سرعة 0000,سرعة ,Speed
أنواع 0000,أنواع ,Species
الرئيسية 0000,الرئيسية ,Main
أب 0000,أب ,dad
ظهرت 0000,ظهرت ,Appear
القمامة 0000,القمامة ,Garbage
سأحصل 0000,سأحصل ,I will get
أماندا 0000,أماندا ,Amanda
مرحلة 0000,مرحلة ,Stage
تشغيل 0000,تشغيل ,employment
جعلتني 0000,جعلتني ,Make me
الشيئ 0000,الشيئ ,Thing
خطيرة 0000,خطيرة ,Dangerous
المرات 0000,المرات ,Times
تدعى 0000,تدعى ,Involve
لمساعدتك 0000,لمساعدتك ,To help you
منطقي 0000,منطقي ,Logical
كافي 0000,كافي ,Enough
يحبون 0000,يحبون ,They love
ستفعلين 0000,ستفعلين ,You will do
أخبرها 0000,أخبرها ,tell her
اولا 0000,اولا ,Or not
كوبر 0000,كوبر ,Cooper
الشرف 0000,الشرف ,Honour
اطلاق 0000,اطلاق ,release
بالذنب 0000,بالذنب ,Guilty
الرائحة 0000,الرائحة ,Odor
طيبة 0000,طيبة ,Kind
الولاية 0000,الولاية ,the state
ألقي 0000,ألقي ,cast down
نلعب 0000,نلعب ,We play
نعـم 0000,نعـم ,Blend
لقتل 0000,لقتل ,To kill
الصين 0000,الصين ,China
مرت 0000,مرت ,Pass
اللطيف 0000,اللطيف ,Cute
يكذب 0000,يكذب ,He lies
فقدان 0000,فقدان ,Loss
المحاولة 0000,المحاولة ,Attempt
أمامك 0000,أمامك ,Before you
بعدم 0000,بعدم ,Not
تقومي 0000,تقومي ,Converge
سنين 0000,سنين ,Years old
أجـل 0000,أجـل ,Lapse
تكونوا 0000,تكونوا ,You are
أسبوعين 0000,أسبوعين ,Two weeks
جمع 0000,جمع ,plural
دونا 0000,دونا ,Without a
المرء 0000,المرء ,One
الخطر 0000,الخطر ,Risk
الكلية 0000,الكلية ,the college
مكتوب 0000,مكتوب ,written
الشر 0000,الشر ,Evil
فكره 0000,فكره ,an idea
لاعب 0000,لاعب ,Player
الحمقى 0000,الحمقى ,Fools
وايت 0000,وايت ,White
بارك 0000,بارك ,Bless
المجلس 0000,المجلس ,the Council
النفس 0000,النفس ,self
إجراء 0000,إجراء ,Procedure
تعنيه 0000,تعنيه ,Be careful
تأكد 0000,تأكد ,Make sure
فرق 0000,فرق ,difference
مفقود 0000,مفقود ,Missing
بالواقع 0000,بالواقع ,In reality
تكلم 0000,تكلم ,speak
جاكي 0000,جاكي ,Jackie
العقيد 0000,العقيد ,Colonel
الطيور 0000,الطيور ,the birds
بدور 0000,بدور ,In turn
قبلة 0000,قبلة ,Kiss
شريط 0000,شريط ,ribbon
نبقى 0000,نبقى ,we stay
الحادث 0000,الحادث ,the incident
لايمكنني 0000,لايمكنني ,I can not
سمعته 0000,سمعته ,I heard it
آمنة 0000,آمنة ,Safe
فلنذهب 0000,فلنذهب ,let's go
نتائج 0000,نتائج ,consequences
نيكي 0000,نيكي ,Nikki
مؤخرة 0000,مؤخرة ,Rear
المبلغ 0000,المبلغ ,the amount
يبحثون 0000,يبحثون ,They are looking
سنرى 0000,سنرى ,We'll see
الحصان 0000,الحصان ,the horse
مفتوحة 0000,مفتوحة ,Open
الشجرة 0000,الشجرة ,the tree
حوله 0000,حوله ,Convert
الوقود 0000,الوقود ,Fuel
تصرف 0000,تصرف ,behavior
لسوء 0000,لسوء ,Badness
جولي 0000,جولي ,Jolly
ستبقى 0000,ستبقى ,You will stay
لورين 0000,لورين ,Lauren
الشعب 0000,الشعب ,People
عديدة 0000,عديدة ,many
تمر 0000,تمر ,Pass
للعشاء 0000,للعشاء ,for dinner
جمال 0000,جمال ,beauty
المرضى 0000,المرضى ,The patients
للغايه 0000,للغايه ,Extremely
تقم 0000,تقم ,Cure
فرانكي 0000,فرانكي ,Franki
إي 0000,إي ,Which
كأن 0000,كأن ,It was
تهانينا 0000,تهانينا ,our end
هه 0000,هه ,laugh
أنجلوس 0000,أنجلوس ,Angeles
إرسال 0000,إرسال ,send
أذن 0000,أذن ,Ear
قصير 0000,قصير ,short
اتيت 0000,اتيت ,I came
المجنون 0000,المجنون ,the crazy
مائة 0000,مائة ,a hundred
باي 0000,باي ,Bay
تيم 0000,تيم ,Tim
رصاصة 0000,رصاصة ,bullet
السر 0000,السر ,the secret
الأحداث 0000,الأحداث ,Events
علامات 0000,علامات ,Signs
سوداء 0000,سوداء ,Black
الجرائم 0000,الجرائم ,Crime
مسموح 0000,مسموح ,Permissible
الهى 0000,الهى ,divine
العقل 0000,العقل ,Mind
والدها 0000,والدها ,her dad
تستطع 0000,تستطع ,You can
سحب 0000,سحب ,Withdrawal
زواج 0000,زواج ,marriage
وسيم 0000,وسيم ,Handsome
طفلي 0000,طفلي ,My baby
تصوير 0000,تصوير ,take photo
يقوله 0000,يقوله ,He says
إلـى 0000,إلـى ,To
تأتى 0000,تأتى ,Come
تشبه 0000,تشبه ,Like
إيما 0000,إيما ,whatever
إليكم 0000,إليكم ,To you
المطر 0000,المطر ,the rain
أشك 0000,أشك ,I suspect
رايتشل 0000,رايتشل ,Rachel
قومي 0000,قومي ,Nationalist
ماتوا 0000,ماتوا ,They died
أقترح 0000,أقترح ,suggest
تحاولين 0000,تحاولين ,You are trying
معرفته 0000,معرفته ,His knowledge
بالذهاب 0000,بالذهاب ,By going
النقطة 0000,النقطة ,the point
تعنى 0000,تعنى ,Means
ديك 0000,ديك ,rooster
حية 0000,حية ,Alive
لأرى 0000,لأرى ,To see
هوية 0000,هوية ,identification
آثار 0000,آثار ,antiquities
نضع 0000,نضع ,we put
الطقس 0000,الطقس ,the weather
امك 0000,امك ,Your mother
المخابرات 0000,المخابرات ,Intelligence
يتطلب 0000,يتطلب ,Requires
ضعيف 0000,ضعيف ,weak
هاك 0000,هاك ,take
my 0000,my ,My
تحقق 0000,تحقق ,verification
مميز 0000,مميز ,distinct
ورقة 0000,ورقة ,paper
مقدار 0000,مقدار ,amount
الوداع 0000,الوداع ,Goodbye
حديقة 0000,حديقة ,garden
لايمكن 0000,لايمكن ,Not possible
كعكة 0000,كعكة ,Cake
سلام 0000,سلام ,Hello
الجثث 0000,الجثث ,Bodies
كارول 0000,كارول ,Carroll
جوليا 0000,جوليا ,Julia
العين 0000,العين ,Eye
السفلي 0000,السفلي ,Lower
المحطة 0000,المحطة ,Station
عودي 0000,عودي ,Reciprocal
المشي 0000,المشي ,Walking
تمام 0000,تمام ,OK
سيذهب 0000,سيذهب ,He will go
بالجوار 0000,بالجوار ,In the vicinity
طويلا 0000,طويلا ,long
مارتي 0000,مارتي ,Marti
التأكد 0000,التأكد ,making sure
سيحصل 0000,سيحصل ,It will happen
حولك 0000,حولك ,Around
خاطئة 0000,خاطئة ,False
حبي 0000,حبي ,My love
المناسبة 0000,المناسبة ,Occasion
بوضوح 0000,بوضوح ,clearly
لنبدأ 0000,لنبدأ ,Let's Begin
بلقائك 0000,بلقائك ,By meeting you
نائب 0000,نائب ,Deputy
مشكله 0000,مشكله ,Problem
وغد 0000,وغد ,scoundrel
الأمريكي 0000,الأمريكي ,American
يعاني 0000,يعاني ,Suffers
منزله 0000,منزله ,his house
أراها 0000,أراها ,see her
الموتى 0000,الموتى ,Dead
عفوا 0000,عفوا ,Sorry
لصالح 0000,لصالح ,Favor
عامل 0000,عامل ,Worker
كيتي 0000,كيتي ,Kitty
أستمع 0000,أستمع ,I listen
